level_0,index,Year,Month,Reporter,Trade_Flow,Partner,HS_Code,Commodity,Trade_Value_USD,Category,Sector,Tariff_Rate (%)
223,223,2019,52,USA,Export,China,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",1538792191,Vehicle Parts & Accessories,Automobile,25.0
224,224,2019,52,USA,Import,China,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",1756050739,Medical & Surgical Instruments,Healthcare,25.0
225,225,2019,52,USA,Export,China,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",3229282997,Medical & Surgical Instruments,Healthcare,25.0
226,226,2020,52,USA,Export,China,2709,Petroleum oils and oils obtained from bituminous minerals; crude,6760934244,Crude Petroleum Oil,Energy,0.0
227,227,2020,52,USA,Import,China,2711,Petroleum gases and other gaseous hydrocarbons,1149410,Petroleum Gases (LNG/LPG),Energy,25.0
228,228,2020,52,USA,Export,China,2711,Petroleum gases and other gaseous hydrocarbons,2440929595,Petroleum Gases (LNG/LPG),Energy,25.0
229,229,2020,52,USA,Import,China,2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury",27863210,Alkali & Alkaline-Earth Metals,Chemicals,25.0
230,230,2020,52,USA,Export,China,2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury",6648391,Alkali & Alkaline-Earth Metals,Chemicals,25.0
231,231,2020,52,USA,Import,China,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",45649703,Rare-Earth Compounds,Critical Minerals,25.0
232,232,2020,52,USA,Export,China,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",98931639,Rare-Earth Compounds,Critical Minerals,25.0
233,233,2020,52,USA,Import,China,8505,"Electro-magnets; permanent magnets, intended permanent magnets; electro-magnetic, permanent magnet chucks, clamps, similar; electromagnetic couplings, clutches, brakes; electro-magnetic lifting heads",368406831,Electromagnets & Magnetic Devices,Industrial Equipment,25.0
234,234,2020,52,USA,Export,China,8505,"Electro-magnets; permanent magnets, intended permanent magnets; electro-magnetic, permanent magnet chucks, clamps, similar; electromagnetic couplings, clutches, brakes; electro-magnetic lifting heads",39570400,Electromagnets & Magnetic Devices,Industrial Equipment,25.0
235,235,2020,52,USA,Import,China,8507,"Electric accumulators, including separators therefor; whether or not rectangular (including square)",2591304815,Electric Batteries,Energy Storage,0.0
236,236,2020,52,USA,Export,China,8507,"Electric accumulators, including separators therefor; whether or not rectangular (including square)",275799181,Electric Batteries,Energy Storage,0.0
237,237,2020,52,USA,Import,China,8518,"Microphones and their stands; loudspeakers, mounted or not in their enclosures; headphones and earphones, combined or not with a microphone, and sets of a microphone and one or more loudspeakers; audio frequency and electric sound amplifiers and sets",4168341101,Audio Equipment (Speakers & Microphones),Consumer Electronics,25.0
238,238,2020,52,USA,Export,China,8518,"Microphones and their stands; loudspeakers, mounted or not in their enclosures; headphones and earphones, combined or not with a microphone, and sets of a microphone and one or more loudspeakers; audio frequency and electric sound amplifiers and sets",74914630,Audio Equipment (Speakers & Microphones),Consumer Electronics,25.0
239,239,2020,52,USA,Import,China,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",8332610251,Monitors & Television Receivers,Electronics,25.0
240,240,2020,52,USA,Export,China,8528,"Monitors and projectors, not incorporating television reception apparatus; reception apparatus for television, whether or not incorporating radio-broadcast receivers or sound or video recording or reproducing apparatus",27060543,Monitors & Television Receivers,Electronics,25.0
241,241,2020,52,USA,Import,China,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",8113237421,Vehicle Parts & Accessories,Automobile,25.0
242,242,2020,52,USA,Export,China,8708,"Motor vehicles; parts and accessories, of heading no. 8701 to 8705",1935143893,Vehicle Parts & Accessories,Automobile,25.0
243,243,2020,52,USA,Import,China,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",2319149452,Medical & Surgical Instruments,Healthcare,25.0
244,244,2020,52,USA,Export,China,9018,"Instruments and appliances used in medical, surgical, dental or veterinary sciences, including scintigraphic apparatus, other electro-medical apparatus and sight testing instruments",3101405246,Medical & Surgical Instruments,Healthcare,25.0
245,245,2021,52,USA,Export,China,2709,Petroleum oils and oils obtained from bituminous minerals; crude,5911305448,Crude Petroleum Oil,Energy,0.0
246,246,2021,52,USA,Import,China,2711,Petroleum gases and other gaseous hydrocarbons,2244538,Petroleum Gases (LNG/LPG),Energy,25.0
247,247,2021,52,USA,Export,China,2711,Petroleum gases and other gaseous hydrocarbons,6161081050,Petroleum Gases (LNG/LPG),Energy,25.0
248,248,2021,52,USA,Import,China,2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury",37209604,Alkali & Alkaline-Earth Metals,Chemicals,25.0
249,249,2021,52,USA,Export,China,2805,"Alkali or alkaline-earth metals; rare-earth metals, scandium and yttrium, whether or not intermixed or interalloyed; mercury",4396777,Alkali & Alkaline-Earth Metals,Chemicals,25.0
250,250,2021,52,USA,Import,China,2846,"Compounds, inorganic or organic, of rare-earth metals; of yttrium or of scandium or of mixtures of these metals",73953303,Rare-Earth Compounds,Critical Minerals,25.0
